DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
13-OCT-2015,FUTIDX,BANKNIFTY,29-OCT-2015,17601.65
13-OCT-2015,FUTIDX,BANKNIFTY,26-NOV-2015,17703.20
13-OCT-2015,FUTIDX,BANKNIFTY,31-DEC-2015,17797.05
13-OCT-2015,FUTIDX,CNXINFRA,29-OCT-2015,2962.65
13-OCT-2015,FUTIDX,CNXINFRA,26-NOV-2015,2979.30
13-OCT-2015,FUTIDX,CNXINFRA,31-DEC-2015,3000.05
13-OCT-2015,FUTIDX,CNXIT,29-OCT-2015,11500.20
13-OCT-2015,FUTIDX,CNXIT,26-NOV-2015,11623.65
13-OCT-2015,FUTIDX,CNXIT,31-DEC-2015,11704.60
13-OCT-2015,FUTIDX,CNXPSE,29-OCT-2015,3143.25
13-OCT-2015,FUTIDX,CNXPSE,26-NOV-2015,3160.95
13-OCT-2015,FUTIDX,CNXPSE,31-DEC-2015,3182.95
13-OCT-2015,FUTIDX,DJIA,16-OCT-2015,17017.50
13-OCT-2015,FUTIDX,DJIA,20-NOV-2015,16957.50
13-OCT-2015,FUTIDX,DJIA,18-DEC-2015,17360.00
13-OCT-2015,FUTIDX,DJIA,18-MAR-2016,17675.00
13-OCT-2015,FUTIDX,DJIA,17-JUN-2016,17997.50
13-OCT-2015,FUTIDX,DJIA,16-SEP-2016,18325.00
13-OCT-2015,FUTIDX,FTSE100,16-OCT-2015,6375.00
13-OCT-2015,FUTIDX,FTSE100,20-NOV-2015,6420.00
13-OCT-2015,FUTIDX,FTSE100,18-DEC-2015,6456.00
13-OCT-2015,FUTIDX,FTSE100,18-MAR-2016,6573.00
13-OCT-2015,FUTIDX,FTSE100,17-JUN-2016,6693.00
13-OCT-2015,FUTIDX,FTSE100,16-SEP-2016,6815.00
13-OCT-2015,FUTIDX,NFTYMCAP50,29-OCT-2015,3332.00
13-OCT-2015,FUTIDX,NFTYMCAP50,26-NOV-2015,3350.80
13-OCT-2015,FUTIDX,NFTYMCAP50,31-DEC-2015,3374.15
13-OCT-2015,FUTIDX,NIFTY,29-OCT-2015,8138.80
13-OCT-2015,FUTIDX,NIFTY,26-NOV-2015,8176.40
13-OCT-2015,FUTIDX,NIFTY,31-DEC-2015,8218.65
13-OCT-2015,FUTIDX,S&P500,16-OCT-2015,2006.00
13-OCT-2015,FUTIDX,S&P500,20-NOV-2015,1999.00
13-OCT-2015,FUTIDX,S&P500,18-DEC-2015,2044.25
13-OCT-2015,FUTIDX,S&P500,18-MAR-2016,2081.50
13-OCT-2015,FUTIDX,S&P500,17-JUN-2016,2119.25
13-OCT-2015,FUTIDX,S&P500,16-SEP-2016,2158.00
13-OCT-2015,FUTIVX,INDIAVIX,13-OCT-2015,1801.50
13-OCT-2015,FUTIVX,INDIAVIX,20-OCT-2015,1804.75
13-OCT-2015,FUTIVX,INDIAVIX,27-OCT-2015,1817.25
13-OCT-2015,FUTSTK,ABIRLANUVO,29-OCT-2015,2192.60
13-OCT-2015,FUTSTK,ABIRLANUVO,26-NOV-2015,2200.10
13-OCT-2015,FUTSTK,ABIRLANUVO,31-DEC-2015,2218.30
13-OCT-2015,FUTSTK,ACC,29-OCT-2015,1357.95
13-OCT-2015,FUTSTK,ACC,26-NOV-2015,1364.55
13-OCT-2015,FUTSTK,ACC,31-DEC-2015,1373.60
13-OCT-2015,FUTSTK,ADANIENT,29-OCT-2015,85.50
13-OCT-2015,FUTSTK,ADANIENT,26-NOV-2015,85.90
13-OCT-2015,FUTSTK,ADANIENT,31-DEC-2015,86.40
13-OCT-2015,FUTSTK,ADANIPORTS,29-OCT-2015,324.00
13-OCT-2015,FUTSTK,ADANIPORTS,26-NOV-2015,326.20
13-OCT-2015,FUTSTK,ADANIPORTS,31-DEC-2015,328.70
13-OCT-2015,FUTSTK,ADANIPOWER,29-OCT-2015,28.55
13-OCT-2015,FUTSTK,ADANIPOWER,26-NOV-2015,28.70
13-OCT-2015,FUTSTK,ADANIPOWER,31-DEC-2015,28.90
13-OCT-2015,FUTSTK,AJANTPHARM,29-OCT-2015,1487.45
13-OCT-2015,FUTSTK,AJANTPHARM,26-NOV-2015,1495.80
13-OCT-2015,FUTSTK,AJANTPHARM,31-DEC-2015,1506.25
13-OCT-2015,FUTSTK,ALBK,29-OCT-2015,78.00
13-OCT-2015,FUTSTK,ALBK,26-NOV-2015,78.45
13-OCT-2015,FUTSTK,ALBK,31-DEC-2015,78.90
13-OCT-2015,FUTSTK,AMARAJABAT,29-OCT-2015,1003.50
13-OCT-2015,FUTSTK,AMARAJABAT,26-NOV-2015,1009.00
13-OCT-2015,FUTSTK,AMARAJABAT,31-DEC-2015,1014.45
13-OCT-2015,FUTSTK,AMBUJACEM,29-OCT-2015,210.80
13-OCT-2015,FUTSTK,AMBUJACEM,26-NOV-2015,211.80
13-OCT-2015,FUTSTK,AMBUJACEM,31-DEC-2015,213.30
13-OCT-2015,FUTSTK,AMTEKAUTO,29-OCT-2015,44.10
13-OCT-2015,FUTSTK,ANDHRABANK,29-OCT-2015,70.05
13-OCT-2015,FUTSTK,ANDHRABANK,26-NOV-2015,70.40
13-OCT-2015,FUTSTK,ANDHRABANK,31-DEC-2015,70.85
13-OCT-2015,FUTSTK,APOLLOHOSP,29-OCT-2015,1458.65
13-OCT-2015,FUTSTK,APOLLOHOSP,26-NOV-2015,1461.05
13-OCT-2015,FUTSTK,APOLLOHOSP,31-DEC-2015,1475.55
13-OCT-2015,FUTSTK,APOLLOTYRE,29-OCT-2015,191.10
13-OCT-2015,FUTSTK,APOLLOTYRE,26-NOV-2015,192.60
13-OCT-2015,FUTSTK,APOLLOTYRE,31-DEC-2015,193.60
13-OCT-2015,FUTSTK,ARVIND,29-OCT-2015,288.40
13-OCT-2015,FUTSTK,ARVIND,26-NOV-2015,289.55
13-OCT-2015,FUTSTK,ARVIND,31-DEC-2015,291.55
13-OCT-2015,FUTSTK,ASHOKLEY,29-OCT-2015,94.50
13-OCT-2015,FUTSTK,ASHOKLEY,26-NOV-2015,94.95
13-OCT-2015,FUTSTK,ASHOKLEY,31-DEC-2015,95.55
13-OCT-2015,FUTSTK,ASIANPAINT,29-OCT-2015,866.45
13-OCT-2015,FUTSTK,ASIANPAINT,26-NOV-2015,870.00
13-OCT-2015,FUTSTK,ASIANPAINT,31-DEC-2015,879.05
13-OCT-2015,FUTSTK,AUROPHARMA,29-OCT-2015,784.70
13-OCT-2015,FUTSTK,AUROPHARMA,26-NOV-2015,788.90
13-OCT-2015,FUTSTK,AUROPHARMA,31-DEC-2015,793.30
13-OCT-2015,FUTSTK,AXISBANK,29-OCT-2015,491.85
13-OCT-2015,FUTSTK,AXISBANK,26-NOV-2015,494.55
13-OCT-2015,FUTSTK,AXISBANK,31-DEC-2015,498.00
13-OCT-2015,FUTSTK,BAJAJ-AUTO,29-OCT-2015,2468.45
13-OCT-2015,FUTSTK,BAJAJ-AUTO,26-NOV-2015,2480.50
13-OCT-2015,FUTSTK,BAJAJ-AUTO,31-DEC-2015,2501.00
13-OCT-2015,FUTSTK,BAJFINANCE,29-OCT-2015,5006.40
13-OCT-2015,FUTSTK,BAJFINANCE,26-NOV-2015,5020.30
13-OCT-2015,FUTSTK,BAJFINANCE,31-DEC-2015,5055.25
13-OCT-2015,FUTSTK,BANKBARODA,29-OCT-2015,176.90
13-OCT-2015,FUTSTK,BANKBARODA,26-NOV-2015,177.75
13-OCT-2015,FUTSTK,BANKBARODA,31-DEC-2015,178.25
13-OCT-2015,FUTSTK,BANKINDIA,29-OCT-2015,142.80
13-OCT-2015,FUTSTK,BANKINDIA,26-NOV-2015,143.60
13-OCT-2015,FUTSTK,BANKINDIA,31-DEC-2015,144.50
13-OCT-2015,FUTSTK,BATAINDIA,29-OCT-2015,526.80
13-OCT-2015,FUTSTK,BATAINDIA,26-NOV-2015,529.65
13-OCT-2015,FUTSTK,BATAINDIA,31-DEC-2015,533.35
13-OCT-2015,FUTSTK,BEL,29-OCT-2015,1187.60
13-OCT-2015,FUTSTK,BEL,26-NOV-2015,1187.85
13-OCT-2015,FUTSTK,BEL,31-DEC-2015,1206.85
13-OCT-2015,FUTSTK,BEML,29-OCT-2015,1225.30
13-OCT-2015,FUTSTK,BEML,26-NOV-2015,1229.55
13-OCT-2015,FUTSTK,BEML,31-DEC-2015,1238.10
