DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
07-OCT-2015,FUTIDX,BANKNIFTY,29-OCT-2015,17689.05
07-OCT-2015,FUTIDX,BANKNIFTY,26-NOV-2015,17779.75
07-OCT-2015,FUTIDX,BANKNIFTY,31-DEC-2015,17880.35
07-OCT-2015,FUTIDX,CNXINFRA,29-OCT-2015,2951.65
07-OCT-2015,FUTIDX,CNXINFRA,26-NOV-2015,2968.35
07-OCT-2015,FUTIDX,CNXINFRA,31-DEC-2015,2989.05
07-OCT-2015,FUTIDX,CNXIT,29-OCT-2015,11710.90
07-OCT-2015,FUTIDX,CNXIT,26-NOV-2015,11799.90
07-OCT-2015,FUTIDX,CNXIT,31-DEC-2015,11882.15
07-OCT-2015,FUTIDX,CNXPSE,29-OCT-2015,3153.95
07-OCT-2015,FUTIDX,CNXPSE,26-NOV-2015,3171.75
07-OCT-2015,FUTIDX,CNXPSE,31-DEC-2015,3193.85
07-OCT-2015,FUTIDX,DJIA,16-OCT-2015,16815.00
07-OCT-2015,FUTIDX,DJIA,20-NOV-2015,16937.50
07-OCT-2015,FUTIDX,DJIA,18-DEC-2015,17032.50
07-OCT-2015,FUTIDX,DJIA,18-MAR-2016,17342.50
07-OCT-2015,FUTIDX,DJIA,17-JUN-2016,17660.00
07-OCT-2015,FUTIDX,DJIA,16-SEP-2016,17980.00
07-OCT-2015,FUTIDX,FTSE100,16-OCT-2015,6338.00
07-OCT-2015,FUTIDX,FTSE100,20-NOV-2015,6382.00
07-OCT-2015,FUTIDX,FTSE100,18-DEC-2015,6418.00
07-OCT-2015,FUTIDX,FTSE100,18-MAR-2016,6534.00
07-OCT-2015,FUTIDX,FTSE100,17-JUN-2016,6654.00
07-OCT-2015,FUTIDX,FTSE100,16-SEP-2016,6775.00
07-OCT-2015,FUTIDX,NFTYMCAP50,29-OCT-2015,3328.80
07-OCT-2015,FUTIDX,NFTYMCAP50,26-NOV-2015,3347.60
07-OCT-2015,FUTIDX,NFTYMCAP50,31-DEC-2015,3370.95
07-OCT-2015,FUTIDX,NIFTY,29-OCT-2015,8194.65
07-OCT-2015,FUTIDX,NIFTY,26-NOV-2015,8234.10
07-OCT-2015,FUTIDX,NIFTY,31-DEC-2015,8274.15
07-OCT-2015,FUTIDX,S&P500,16-OCT-2015,1984.75
07-OCT-2015,FUTIDX,S&P500,20-NOV-2015,1997.50
07-OCT-2015,FUTIDX,S&P500,18-DEC-2015,2008.50
07-OCT-2015,FUTIDX,S&P500,18-MAR-2016,2045.00
07-OCT-2015,FUTIDX,S&P500,17-JUN-2016,2082.25
07-OCT-2015,FUTIDX,S&P500,16-SEP-2016,2120.25
07-OCT-2015,FUTIVX,INDIAVIX,13-OCT-2015,1927.75
07-OCT-2015,FUTIVX,INDIAVIX,20-OCT-2015,1925.50
07-OCT-2015,FUTIVX,INDIAVIX,27-OCT-2015,1923.25
07-OCT-2015,FUTSTK,ABIRLANUVO,29-OCT-2015,2212.20
07-OCT-2015,FUTSTK,ABIRLANUVO,26-NOV-2015,2229.60
