DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
08-OCT-2015,FUTIDX,BANKNIFTY,29-OCT-2015,17550.60
08-OCT-2015,FUTIDX,BANKNIFTY,26-NOV-2015,17648.30
08-OCT-2015,FUTIDX,BANKNIFTY,31-DEC-2015,17741.30
08-OCT-2015,FUTIDX,CNXINFRA,29-OCT-2015,2939.25
08-OCT-2015,FUTIDX,CNXINFRA,26-NOV-2015,2955.80
08-OCT-2015,FUTIDX,CNXINFRA,31-DEC-2015,2976.40
08-OCT-2015,FUTIDX,CNXIT,29-OCT-2015,11704.85
08-OCT-2015,FUTIDX,CNXIT,26-NOV-2015,11783.55
08-OCT-2015,FUTIDX,CNXIT,31-DEC-2015,11865.50
08-OCT-2015,FUTIDX,CNXPSE,29-OCT-2015,3143.65
08-OCT-2015,FUTIDX,CNXPSE,26-NOV-2015,3161.35
08-OCT-2015,FUTIDX,CNXPSE,31-DEC-2015,3183.35
08-OCT-2015,FUTIDX,DJIA,16-OCT-2015,16780.00
08-OCT-2015,FUTIDX,DJIA,20-NOV-2015,16740.00
08-OCT-2015,FUTIDX,DJIA,18-DEC-2015,17152.50
08-OCT-2015,FUTIDX,DJIA,18-MAR-2016,17465.00
08-OCT-2015,FUTIDX,DJIA,17-JUN-2016,17782.50
08-OCT-2015,FUTIDX,DJIA,16-SEP-2016,18105.00
08-OCT-2015,FUTIDX,FTSE100,16-OCT-2015,6347.00
08-OCT-2015,FUTIDX,FTSE100,20-NOV-2015,6391.00
08-OCT-2015,FUTIDX,FTSE100,18-DEC-2015,6427.00
08-OCT-2015,FUTIDX,FTSE100,18-MAR-2016,6543.00
08-OCT-2015,FUTIDX,FTSE100,17-JUN-2016,6662.00
08-OCT-2015,FUTIDX,FTSE100,16-SEP-2016,6784.00
08-OCT-2015,FUTIDX,NFTYMCAP50,29-OCT-2015,3309.15
08-OCT-2015,FUTIDX,NFTYMCAP50,26-NOV-2015,3327.80
08-OCT-2015,FUTIDX,NFTYMCAP50,31-DEC-2015,3350.95
08-OCT-2015,FUTIDX,NIFTY,29-OCT-2015,8157.25
08-OCT-2015,FUTIDX,NIFTY,26-NOV-2015,8195.95
08-OCT-2015,FUTIDX,NIFTY,31-DEC-2015,8236.45
08-OCT-2015,FUTIDX,S&P500,16-OCT-2015,1982.25
08-OCT-2015,FUTIDX,S&P500,20-NOV-2015,2013.00
08-OCT-2015,FUTIDX,S&P500,18-DEC-2015,2024.25
08-OCT-2015,FUTIDX,S&P500,18-MAR-2016,2061.00
08-OCT-2015,FUTIDX,S&P500,17-JUN-2016,2098.50
08-OCT-2015,FUTIDX,S&P500,16-SEP-2016,2136.75
08-OCT-2015,FUTIVX,INDIAVIX,13-OCT-2015,1956.25
08-OCT-2015,FUTIVX,INDIAVIX,20-OCT-2015,1954.00
08-OCT-2015,FUTIVX,INDIAVIX,27-OCT-2015,1957.75
08-OCT-2015,FUTSTK,ABIRLANUVO,29-OCT-2015,2203.85
08-OCT-2015,FUTSTK,ABIRLANUVO,26-NOV-2015,2217.25
08-OCT-2015,FUTSTK,ABIRLANUVO,31-DEC-2015,2232.65
08-OCT-2015,FUTSTK,ACC,29-OCT-2015,1363.00
08-OCT-2015,FUTSTK,ACC,26-NOV-2015,1370.75
08-OCT-2015,FUTSTK,ACC,31-DEC-2015,1378.95
08-OCT-2015,FUTSTK,ADANIENT,29-OCT-2015,84.65
08-OCT-2015,FUTSTK,ADANIENT,26-NOV-2015,85.05
08-OCT-2015,FUTSTK,ADANIENT,31-DEC-2015,85.60
08-OCT-2015,FUTSTK,ADANIPORTS,29-OCT-2015,321.30
08-OCT-2015,FUTSTK,ADANIPORTS,26-NOV-2015,322.45
08-OCT-2015,FUTSTK,ADANIPORTS,31-DEC-2015,326.15
08-OCT-2015,FUTSTK,ADANIPOWER,29-OCT-2015,26.45
08-OCT-2015,FUTSTK,ADANIPOWER,26-NOV-2015,26.60
08-OCT-2015,FUTSTK,ADANIPOWER,31-DEC-2015,26.75
08-OCT-2015,FUTSTK,AJANTPHARM,29-OCT-2015,1500.60
08-OCT-2015,FUTSTK,AJANTPHARM,26-NOV-2015,1513.40
08-OCT-2015,FUTSTK,AJANTPHARM,31-DEC-2015,1523.90
08-OCT-2015,FUTSTK,ALBK,29-OCT-2015,78.35
08-OCT-2015,FUTSTK,ALBK,26-NOV-2015,78.65
08-OCT-2015,FUTSTK,ALBK,31-DEC-2015,79.20
