SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
BE,INGERRAND,INGERSOLL-RAND INDIA LTD, ,11/09/2015,14/09/2015,09/09/2015, , ,AGM/DIV-RS 3 PER SHARE   
BE,OSWALAGRO,Oswal Agro Mills Ltd, ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
BE,ESSAROIL,ESSAR OIL - Depo. Sett., ,29/09/2015,30/09/2015,24/09/2015, , ,ANNUAL GENERAL MEETING   
BE,MTNL,MAHANAGAR TELEPHONE NIGAM, ,23/09/2015,29/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
BE,GUJALKALI,Gujarat Alkalies & Chem , ,04/09/2015,18/09/2015,02/09/2015, , ,AGM/DIV-RS 4.50 PER SHARE
BE,ORCHIDCHEM,ORCHID CHEMICALS LTD, ,11/09/2015,15/09/2015,09/09/2015, , ,ANNUAL GENERAL MEETING   
BE,FACT,Fert & Chem Travancore , ,25/09/2015,30/09/2015,23/09/2015, , ,Annual General Meeting   
BE,IFCI,IFCI LTD, ,15/09/2015,21/09/2015,11/09/2015, , ,AGM/DIV RE 0.50 PER SHARE
BE,ESCORTS,ESCORTS INDIA LTD, ,05/09/2015,18/09/2015,03/09/2015, , ,AGM/DIV-RS 1.20 PER SHARE
BE,GRASIM,GRASIM INDUSTRIES LTD, ,05/09/2015,19/09/2015,03/09/2015, , ,AGM/DIV RS 18/- PER SHARE
BE,HIMATSEIDE,HIMATSINGKA SEIDE (I) LTD, ,08/09/2015,15/09/2015,04/09/2015, , ,AGM/DIV-RS 2 PER SHARE   
BE,HOCL,Hindustan Org Chem Ltd, ,22/09/2015,29/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
BE,KRISNAFILA,KRISHNA FILAMENTS LTD., ,28/09/2015,30/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
BE,WEIZMANIND,Weizmann Ltd, ,08/09/2015,14/09/2015,04/09/2015, , ,AGM/DIV-RE 0.50 PER SH   
BE,MOREPENLAB,MOREPEN LAB. LTD, ,12/09/2015,18/09/2015,10/09/2015, , ,ANNUAL GENERAL MEETING   
BE,KOPRAN,Kopran Ltd., ,17/09/2015,19/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
BE,ELECTCAST,ELECTROSTEEL CASTINGS LTD, ,05/09/2015,11/09/2015,03/09/2015, , ,AGM/DIV-RE 0.65 PER SHARE
BE,HOTELEELA,Hotel Leela Venture Ltd., ,19/09/2015,22/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
BE,SCI,SHIPPING CORP OF INDIA LT, ,16/09/2015,22/09/2015,14/09/2015, , ,ANNUAL GENERAL MEETING   
BE,TNPL,TAMILNADU NEWSPRT & PAPER, ,12/09/2015,18/09/2015,10/09/2015, , ,AGM/DIV-RS.6/- PER SHARE 
BE,BPL,BPL LTD, ,23/09/2015,30/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
BE,GMDCLTD,Gujarat Min. Dev. Corpn , ,26/09/2015,29/09/2015,23/09/2015, , ,AGM/DIV-RS 3 PER SHARE   
BE,TNPETRO,Tamilnadu Petro Prod Ltd, ,14/09/2015,22/09/2015,10/09/2015, , ,ANNUAL GENERAL MEETING   
BE,GAIL,GAIL (India) Limited, ,29/08/2015,16/09/2015,27/08/2015, , ,DIV-RS 3 PER SHARE       
BE,IVRCLINFRA,IVRCL Limited, ,23/09/2015,26/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
BE,TFCILTD,Tourism Finance Corp , ,12/09/2015,21/09/2015,10/09/2015, , ,AGM/DIV-RE 0.80 PER SHARE
BE,ZODJRDMKJ,Zodiac JRD- MKJ Ltd, ,19/09/2015,26/09/2015,16/09/2015, , ,AGM/DIV-RE 0.50 PER SHARE
BE,SICAL,Sical Logistics Limited, ,26/09/2015,29/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
BE,GUJFLUORO,Gujarat Fluorochem Ltd, ,23/09/2015,29/09/2015,21/09/2015, , ,AGM/DIV-RS 3.50 PER SHARE
BE,BEML,BEML Limited, ,09/09/2015,15/09/2015,07/09/2015, , ,DIV-RE 1 PER SHARE       
BE,JINDALSTEL,JINDALSTEL-Depo, ,09/09/2015,11/09/2015,07/09/2015, , ,ANNUAL GENERAL MEETING   
BE,SHREERAMA,Shree Rama Multitech-Depo, ,19/09/2015,25/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
BE,PRASGLOFIN,Silicon Valley Info-Depo, ,23/09/2015,30/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
BE,VLSFINANCE,VLS Finance Ltd., ,17/09/2015,24/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
BE,INDLMETER,IMP Powers Ltd, ,17/09/2015,23/09/2015,15/09/2015, , ,AGM/DIV-RE 0.50 PER SHARE
BE,CYBERTECH,Cybertech Systems & Softw, ,19/09/2015,30/09/2015,16/09/2015, , ,AGM/DIV-RE 1 PER SHARE   
BE,BAJAJHIND,Bajaj Hindustan Sugar Ltd, ,08/09/2015,14/09/2015,04/09/2015, , ,ANNUAL GENERAL MEETING   
BE,KOTHARIPRO,Kothari Products Ltd., ,17/09/2015,24/09/2015,15/09/2015, , ,AGM/DIV-RS 6.50 PER SHARE
BE,JAYAGROGN,Jayant Agro Organics Ltd., ,19/09/2015,24/09/2015,16/09/2015, , ,AGM/DIV-RE 1 PER SHARE   
BE,JYOTISTRUC,Jyoti Structures Ltd, ,19/09/2015,26/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
BE,SUPREMEIND,SUPREME INDUSTRIES LTD, ,10/09/2015,16/09/2015,08/09/2015, , ,AGM/DIV RS 7/- PER SHARE 
