SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
EQ,AARTIIND,Aarti Industries Ltd., ,17/09/2015,24/09/2015,15/09/2015, , ,AGM/DIV-RS 1.75 PER SHARE
EQ,HARRMALAYA,Harrisons  Malayalam Ltd, ,22/09/2015,28/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,ONGC,Oil & Natural Gas Corp, ,09/09/2015,15/09/2015,07/09/2015, , ,AGM/DIV-RE 0.50 PER SHARE
EQ,ESSAROIL,Essar Oil Ltd., ,29/09/2015,30/09/2015,24/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,GUJALKALI,Gujarat Alkalies & Chem , ,04/09/2015,18/09/2015,02/09/2015, , ,AGM/DIV-RS 4.50 PER SHARE
EQ,HMT,HMT Ltd, ,22/09/2015,30/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,NAMASTEXP,Namaste Exports Ltd, ,30/09/2015,30/09/2015,28/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,BLUECHIP,Blue Chip India Ltd, ,22/09/2015,29/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,TINPLATE,The Tinplate Co. (I) Ltd, ,09/09/2015,23/09/2015,07/09/2015, , ,AGM/DIV-RS 1.60 PER SHARE
EQ,GAIL,GAIL (India) Limited, ,29/08/2015,16/09/2015,27/08/2015, , ,DIV-RS 3 PER SHARE       
EQ,SKMEGGPROD,SKM Egg Products Export, ,17/09/2015,23/09/2015,15/09/2015, , ,AGM/DIV-RE 1 PER SHARE   
EQ,RAIREKMOH,R R Mohota Spg & Wvg Mill, ,23/09/2015,30/09/2015,21/09/2015, , ,AGM/DIV RE 0.10 PER SHARE
EQ,JAYAGROGN,Jayant Agro Organics Ltd., ,19/09/2015,24/09/2015,16/09/2015, , ,AGM/DIV-RE 1 PER SHARE   
EQ,INDRAMEDCO,Indraprastha Med Corp, ,19/09/2015,29/09/2015,16/09/2015, , ,AGM/DIV-RS 1.80 PER SHARE
EQ,GUJSTATFIN,Gujarat State Financial C, ,26/10/2015,30/10/2015,21/10/2015, , ,ANNUAL GENERAL MEETING   
EQ,SPIC,Southern Petro Ind Corp, ,08/09/2015,21/09/2015,04/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,ESCORTS,Escorts India Ltd., ,05/09/2015,18/09/2015,03/09/2015, , ,AGM/DIV-RS 1.20 PER SHARE
EQ,PRASGLOFIN,Silicon Valley Infotech, ,23/09/2015,30/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,BIOFILCHEM,Biofil Chemicals & Pharm, ,19/09/2015,24/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,INDSWFTLAB,Ind-Swift Labs Ltd., ,22/09/2015,30/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,ARAVALIIND,Aravali Industries Limite, ,26/09/2015,30/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,EASUNREYRL,Easun Reyrolle Relays, ,21/09/2015,28/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SCI,Shipping Corp of India , ,16/09/2015,22/09/2015,14/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,GSFC,Gujarat State Fert Ltd., ,02/09/2015,16/09/2015,31/08/2015, , ,AGM/DIV-RS 2.20 PER SHARE
EQ,KEYCORPSER,Keynote Corp Serv Ltd, ,23/09/2015,29/09/2015,21/09/2015, , ,AGM/DIV-RE 1 PER SHARE   
EQ,ZENITHEXPO,Zenith Exports Ltd., ,21/09/2015,30/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SANGAMIND,Sangam (India) Ltd., ,24/09/2015,30/09/2015,22/09/2015, , ,AGM/DIV-RS 2 PER SHARE   
EQ,MADRASFERT,Madras Fertilizers Ltd, ,22/09/2015,28/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,INGERRAND,Ingersoll Rand Ltd., ,11/09/2015,14/09/2015,09/09/2015, , ,AGM/DIV-RS 3 PER SHARE   
EQ,LML,LML Ltd., ,14/09/2015,24/09/2015,10/09/2015, , ,Annual General Meeting   
EQ,MTNL,Maha Tel Nigam Ltd., ,23/09/2015,29/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,STEELTUBES,Steel Tubes of India Ltd, ,22/09/2015,29/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,KHAITANLTD,Khaitan (India) Ltd., ,23/09/2015,30/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,NATCOPHARM,Natco Pharma Limited, ,21/09/2015,26/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SOMATEX,Soma Textiles & Ind. Ltd., ,08/09/2015,17/09/2015,04/09/2015, , ,Annual General Meeting   
EQ,PARASPETRO,Paras Petrofils Limited, ,23/09/2015,30/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,TNPL,Tamil Nadu Newsprint , ,12/09/2015,18/09/2015,10/09/2015, , ,AGM/DIV-RS.6/- PER SHARE 
EQ,KNDENGTECH,KND Eng. Technologies Ltd, ,25/09/2015,28/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,ELECTHERM,Electrotherm (India) Ltd, ,25/09/2015,30/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,PETRONENGG,Petron Engg Construc Ltd, ,18/09/2015,25/09/2015,15/09/2015, , ,ANNUAL BOOK CLOSURE      
EQ,SAITELE,Sai Television Ltd, ,14/09/2015,16/09/2015,10/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,FEDDERLOYD,Fedders Lloyds Corporatio, ,21/09/2015,25/09/2015,16/09/2015, , ,AGM/DIV-RE 1 PER SHARE   
EQ,INDLMETER,IMP Powers Ltd, ,17/09/2015,23/09/2015,15/09/2015, , ,AGM/DIV-RE 0.50 PER SHARE
EQ,REMSONSIND,Remsons Industries Ltd, ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,HITECHGEAR,Hi-Tech Gears Ltd, ,23/09/2015,29/09/2015,21/09/2015, , ,AGM/DIV-RS 1.50 PER SHARE
EQ,JMCPROJECT,JMC Projects (I)  Ltd., ,26/09/2015,29/09/2015,23/09/2015, , ,AGM/DIV-RE 1 PER SHARE   
EQ,JAGSNPHARM,Jagsonpal Pharma Ltd., ,23/09/2015,30/09/2015,21/09/2015, , ,AGM/DIV-RE 0.10 PER SHARE
EQ,RELCAPITAL,Reliance Capital Limited, ,19/09/2015,30/09/2015,16/09/2015, , ,AGM/DIV-RS 9 PER SHARE   
EQ,CORALFINAC,Coral India Fin & Hous Lt, ,08/09/2015,14/09/2015,04/09/2015, , ,AGM/DIV-RE 1 PER SHARE   
EQ,HOTELRUGBY,Hotel Rugby Ltd, ,23/09/2015,29/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,ASHAPURMIN,Ashapura Minechem Ltd, ,18/09/2015,30/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,AUTOLITIND,Autolite (India) Ltd, ,23/09/2015,29/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,BEL,Bharat Electronics Ltd,15/09/2015, , ,14/09/2015, , ,BONUS 2:1                
EQ,BHEL,Bharat Heavy Elect Ltd., ,16/09/2015,22/09/2015,14/09/2015, , ,AGM/DIV RE 0.62 PER SHARE
EQ,FACT,Fert & Chem Travancore , ,25/09/2015,30/09/2015,23/09/2015, , ,Annual General Meeting   
EQ,GUJFLUORO,Gujarat Fluorochem Ltd, ,23/09/2015,29/09/2015,21/09/2015, , ,AGM/DIV-RS 3.50 PER SHARE
EQ,HIMATSEIDE,Himatsingka Seide Ltd, ,08/09/2015,15/09/2015,04/09/2015, , ,AGM/DIV-RS 2 PER SHARE   
EQ,HOCL,Hindustan Org Chem Ltd, ,22/09/2015,29/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,PUNJABCHEM,Punj Chem & Crop Prot Ltd, ,04/09/2015,11/09/2015,02/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,JAINSTUDIO,Jain Studios Ltd., ,28/09/2015,30/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,JAICORPLTD,Jai Corp Limited, ,17/09/2015,23/09/2015,15/09/2015, , ,AGM/DIV-RE 0.50 PER SHARE
EQ,PREMIERPOL,Premier Polyfilm Ltd, ,15/09/2015,21/09/2015,11/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,RAJASPETRO,Rajasthan Petro Synthetic, ,22/09/2015,28/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,ANTGRAPHIC,Antarctica Graphics Ltd, ,23/09/2015,29/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,NATNLSTEEL,National Steel And Agro , ,16/09/2015,22/09/2015,14/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,GMDCLTD,Gujarat Min. Dev. Corpn , ,26/09/2015,29/09/2015,23/09/2015, , ,AGM/DIV-RS 3 PER SHARE   
EQ,STARPAPER,Star Paper Mills Ltd, ,17/09/2015,24/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,TNPETRO,Tamilnadu Petro Prod Ltd, ,14/09/2015,22/09/2015,10/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,ANDHRSUGAR,The Andhra Sugars Ltd, ,16/09/2015,26/09/2015,14/09/2015, , ,AGM/DIV-RS 3 PER SHARE   
EQ,RUCHINFRA,Ruchi Infrastructure Ltd., ,21/09/2015,23/09/2015,16/09/2015, , ,AGM/DIV-RE 0.06 PER SHARE
EQ,KARUNACAB,Karuna Cables Ltd, ,25/09/2015,26/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,RAMCOIND,Ramco Industries Ltd, ,17/09/2015,23/09/2015,15/09/2015, , ,AGM/DIV-RE 0.30 PER SHARE
EQ,HERITGFOOD,Heritage Foods Ltd., ,17/09/2015,24/09/2015,15/09/2015, , ,AGM/DIV-RS 3 PER SHARE   
EQ,MELSTAR,Melstar Info Tec Ltd, ,22/09/2015,29/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SHREERAMA,Shree Rama Multi-Tech Ltd, ,19/09/2015,25/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,JINDALSTEL,Jindal Steel & Power, ,09/09/2015,11/09/2015,07/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,CYBERTECH,Cybertech Systems & Softw, ,19/09/2015,30/09/2015,16/09/2015, , ,AGM/DIV-RE 1 PER SHARE   
EQ,NIPPOBATRY,Indo-National Limited, ,17/09/2015,23/09/2015,15/09/2015, , ,DIV-RS 25 PER SHARE      
EQ,KOTHARIPRO,Kothari Products Ltd., ,17/09/2015,24/09/2015,15/09/2015, , ,AGM/DIV-RS 6.50 PER SHARE
EQ,ICDSLTD,ICDS Ltd., ,25/09/2015,28/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,ARCHIES,Archies Limited, ,22/09/2015,28/09/2015,18/09/2015, , ,AGM/DIV-RE 0.30 PER SHARE
EQ,VISESHINFO,Visesh Infotecnics Limite, ,27/09/2015,30/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,NATIONALUM,National Alum Co Ltd, ,22/09/2015,26/09/2015,18/09/2015, , ,AGM/DIV-RE 0.50 PER SHARE
EQ,SICAL,Sical Logistics Limited, ,26/09/2015,29/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,NOIDATOLL,Noida Toll Bridge Company, ,23/09/2015,29/09/2015,21/09/2015, , ,AGM/DIV-RE 1 PER SHARE   
EQ,RAJESHEXPO,Rajesh Exports Ltd., ,27/09/2015,29/09/2015,23/09/2015, , ,DIV-RE 1 PER SHARE       
EQ,GLENMARK,Glenmark Pharma Ltd, ,14/09/2015,22/09/2015,10/09/2015, , ,AGM/DIV-RS 2 PER SHARE   
EQ,WOCKPHARMA,Wockhardt Ltd., ,05/09/2015,12/09/2015,03/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,LCCINFOTEC,LCC Infotech Ltd., ,22/09/2015,28/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,IVRCLINFRA,IVRCL Limited, ,23/09/2015,26/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,JINDWORLD,Jindal Worldwide Ltd, ,26/09/2015,30/09/2015,23/09/2015, , ,AGM/DIV-RE 0.50 PER SHARE
EQ,NEYVELILIG,Neyveli Lignite Corp Ltd., ,10/09/2015,16/09/2015,08/09/2015, , ,AGM/DIV-RE 1 PER SHARE   
EQ,AKSHOPTFBR,Aksh Optifibre Limited, ,21/09/2015,26/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,BLBLIMITED,BLB Limited, ,09/09/2015,16/09/2015,07/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,PNC,Pritish Nandy Comm. Ltd., ,11/09/2015,21/09/2015,09/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,CREATIVEYE,Creative Eye Ltd., ,23/09/2015,30/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,EUROTEXIND,Eurotex Ind.& Exports Ltd, ,01/09/2015,12/09/2015,28/08/2015, , ,ANNUAL GENERAL MEETING   
EQ,KHAITANELE,Khaitan Electricals Ltd, ,09/09/2015,16/09/2015,07/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,GRASIM,Grasim Ind Ltd., ,05/09/2015,19/09/2015,03/09/2015, , ,AGM/DIV RS 18/- PER SHARE
EQ,KOPRAN,Kopran Ltd., ,17/09/2015,19/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,PNBGILTS,PNB Gilts Limited, ,12/09/2015,19/09/2015,10/09/2015, , ,AGM/DIV-RS 1.50 PER SHARE
EQ,MARALOVER,Maral Overseas Ltd, ,17/09/2015,23/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,GAEL,Gujarat Amb. Exp Ltd., ,05/09/2015,12/09/2015,03/09/2015, , ,Annual General Meeting   
EQ,BIL,Bhartiya Intl Limited, ,15/09/2015,21/09/2015,11/09/2015, , ,AGM/DIV-RE 1 PER SHARE   
EQ,KRISNAFILA,Krishna Filaments Ltd., ,28/09/2015,30/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,MOREPENLAB,Morepan Laboratories Ltd., ,12/09/2015,18/09/2015,10/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SUPERSPIN,Super Spinning Mills Ltd, ,08/09/2015,14/09/2015,04/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,KHANDSE,Khandwala Sec. Ltd, ,12/09/2015,19/09/2015,10/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,BALMLAWRIE,Balmer Lawrie & Co. Ltd, ,05/09/2015,22/09/2015,03/09/2015, , ,AGM/DIV-RS 18 PER SHARE  
EQ,DSKULKARNI,DS Kulkarni Dev. Ltd., ,25/09/2015,29/09/2015,23/09/2015, , ,AGM/DIV-RS 1.25 PER SHARE
EQ,CINEVISTA,Cinevista Limited, ,16/09/2015,22/09/2015,14/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,ZENITHCOMP,Zenith Computers Limited, ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,MRO-TEK,MRO-TEK Limited, ,17/09/2015,23/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SOFTTECHGR,Software Tech Group Ltd, ,14/09/2015,15/09/2015,10/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,NAHARPOLY,Nahar Poly Films Limited, ,12/09/2015,22/09/2015,10/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,GOLDTECH,Goldstone Tech Ltd., ,23/09/2015,29/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,NTPC,NTPC Limited, ,07/09/2015,18/09/2015,03/09/2015, , ,AGM/DIV-RS 1.75 PER SHARE
EQ,SALSTEEL,S.A.L. Steel Limited, ,16/09/2015,24/09/2015,14/09/2015, , ,Annual General Meeting   
EQ,UNIENTER,Uniphos Enterprises Limit, ,19/09/2015,30/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SIL,Standard Industries Limit, ,15/09/2015,29/09/2015,11/09/2015, , ,AGM/DIV-RE 0.75 PER SHARE
EQ,DWARKESH,Dwarikesh Sugar Industrie, ,11/09/2015,19/09/2015,09/09/2015, , ,Annual General Meeting   
EQ,JISLJALEQS,Jain Irrigation Systems L, ,14/09/2015,30/09/2015,10/09/2015, , ,AGM/DIV-RE 0.50 PER SHARE
EQ,GTL,GTL Limited, ,23/09/2015,23/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,RELINFRA,Reliance Infrastructu Ltd, ,19/09/2015,30/09/2015,16/09/2015, , ,AGM/DIV-RS 8 PER SHARE   
EQ,BSELINFRA,BSEL Infrastructure Realt, ,21/09/2015,28/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,PETRONET,Petronet LNG Limited, ,18/09/2015,24/09/2015,15/09/2015, , ,AGM/DIV-RS 2 PER SHARE   
EQ,RUBYMILLS,The Ruby Mills Ltd, ,19/09/2015,24/09/2015,16/09/2015, , ,AGM/DIV-RS 2.50 PER SHARE
EQ,DHANBANK,Dhanlaxmi Bank Limited, ,24/09/2015,29/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,PTC,PTC India Limited, ,19/09/2015,24/09/2015,16/09/2015, , ,AGM/DIV-RS 2.20 PER SHARE
EQ,GENESYS,Genesys International Cor, ,22/09/2015,29/09/2015,18/09/2015, , ,AGM/DIV-RE 0.125 PER SH  
EQ,DISHMAN,Dishman Pharma &Chem Ltd, ,12/09/2015,29/09/2015,10/09/2015, , ,AGM/DIV-RS 2 PER SHARE   
EQ,OMAXAUTO,Omax Autos Limited, ,09/09/2015,14/09/2015,07/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,RADAAN,Radaan Mediaworks (I) Ltd, ,19/09/2015,25/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,RKFORGE,Ramkrishna Forgings Ltd, ,05/09/2015,12/09/2015,03/09/2015, , ,AGM/DIV-RS 2 PER SHARE   
EQ,PANACEABIO,Panacea Biotec Ltd., ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,MUKTAARTS,Mukta Arts Ltd, ,21/09/2015,28/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,KRBL,KRBL Limited, ,17/09/2015,28/09/2015,15/09/2015, , ,AGM/DIV-RS 1.70 PER SHARE
EQ,STCINDIA,The State Trading Corpn, ,21/09/2015,28/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SEPOWER,S.E. Power Limited, ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,EXCELCROP,Excel Crop Care Limited, ,12/09/2015,23/09/2015,10/09/2015, , ,AGM/DIV-RS 12.50 PER SH  
EQ,NRC,NRC Ltd., ,17/09/2015,30/09/2015,15/09/2015, , ,ANNUAL GENERAL LIMITED   
EQ,PSL,PSL Limited, ,18/09/2015,23/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,RADICO,Radico Khaitan Limited, ,25/09/2015,30/09/2015,23/09/2015, , ,AGM/DIV-RE 0.80 PER SHARE
EQ,AMBICAAGAR,Ambica Agarbathies & Arom, ,23/09/2015,29/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,PEPL,Pearl Engineering Polymer, ,24/09/2015,26/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,LUMAXAUTO,Lumax Automotive Systems, ,22/09/2015,28/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,TIMESGTY,Times Guaranty Limited, ,18/09/2015,29/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,OCL,OCL India Limited, ,12/09/2015,18/09/2015,10/09/2015, , ,AGM/DIV-RS 4 PER SHARE   
EQ,PADMALAYAT,Padmalaya Telefilms Ltd., ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,BAGFILMS,B.A.G Films and Media Ltd, ,17/09/2015,23/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,IGL,Indraprastha Gas Limited, ,11/09/2015,22/09/2015,09/09/2015, , ,DIVIDEND-RS 6 PER SHARE  
EQ,GUFICBIO,Gufic Biosciences Limited, ,24/09/2015,30/09/2015,22/09/2015, , ,AGM/DIV-RE 0.05 PER SHARE
EQ,INDSWFTLTD,Ind-Swift Limited, ,22/09/2015,30/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,DREDGECORP,Dredging Corporation of I, ,24/09/2015,30/09/2015,22/09/2015, , ,AGM/DIV-RS 3 PER SHARE   
EQ,SHIVTEX,Shiva Texyarn Limited Ltd, ,22/09/2015,28/09/2015,18/09/2015, , ,AGM/DIV-RE 1 PER SHARE   
EQ,CRANESSOFT,Cranes Software Internati, ,25/09/2015,30/09/2015,23/09/2015, , ,ANNUAL GENERAL MEEING    
EQ,UNITY,Unity Infraprojects Limit, ,14/09/2015,19/09/2015,10/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,VIVIMEDLAB,Vivimed Labs Limited, ,26/09/2015,30/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,QUINTEGRA,Quintegra Solutions Ltd, ,08/09/2015,18/09/2015,04/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,GOLDIAM,Goldiam International Lim, ,22/09/2015,30/09/2015,18/09/2015, , ,AGM/DIV-RS 1.50 PER SHARE
EQ,TRIVENI,Triveni Engineering & Ind, ,21/09/2015,23/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,AIAENG,AIA Engineering Limited, ,12/09/2015,24/09/2015,10/09/2015, , ,AGM/DIV-RS 8 PER SHARE   
EQ,NAHARINDUS,Nahar Industrial Enterpri, ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,EMCO,Emco Limited, ,18/09/2015,25/09/2015,15/09/2015, , ,AGM/DIV-RE 0.10 PER SHARE
EQ,JKLAKSHMI,JK Lakshmi Cement Limited, ,19/09/2015,26/09/2015,16/09/2015, , ,AGM/DIV-RS 2 PER SHARE   
EQ,SIMBHSUGAR,Simbhaoli Sugars Limited, ,26/09/2015,30/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,RCOM,Reliance Comm. Ltd., ,19/09/2015,30/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,ORIENTABRA,Orient Abrasives Limited, ,23/09/2015,29/09/2015,21/09/2015, , ,AGM/DIV RE 0.25 PER SHARE
EQ,KERNEX,Kernex Microsystems (Indi, ,21/09/2015,28/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,MIRZAINT,Mirza International Ltd., ,23/09/2015,29/09/2015,21/09/2015, , ,AGM/DIV-RE 0.50 PER SHARE
EQ,HTMEDIA,HT Media Limited, ,18/09/2015,25/09/2015,15/09/2015, , ,DIV-RE 0.40 PER SHARE    
EQ,SASKEN,Sasken Commu Techno Ltd, ,12/09/2015,12/09/2015,10/09/2015, , ,AGM/DIV-RS 4.50 PER SHARE
EQ,SIMPLEXINF,Simplex Infrastructures L, ,18/09/2015,24/09/2015,15/09/2015, , ,AGM/DIV-RE 0.50 PER SHARE
EQ,JBMA,JBM Auto Limited, ,14/09/2015,22/09/2015,10/09/2015, , ,AGM/DIV-RS 2.50 PER SHARE
EQ,PVR,PVR Limited, ,22/09/2015,29/09/2015,18/09/2015, , ,AGM/DIV-RE 1 PER SHARE   
EQ,KOHINOOR,Kohinoor Foods Limited, ,15/09/2015,29/09/2015,11/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,FCSSOFT,FCS Software Solutions Li, ,14/09/2015,19/09/2015,10/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SUNFLAG,Sunflag Iron And Steel Co, ,19/09/2015,25/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,CELEBRITY,Celebrity Fashions Limite, ,18/09/2015,25/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,EDUCOMP,Educomp Solutions Limited, ,23/09/2015,28/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,TTML,Tata Teleservices (Mahara, ,15/09/2015,22/09/2015,11/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,IMPEXFERRO,Impex Ferro Tech Limited, ,21/09/2015,28/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,JINDALSAW,Jindal Saw Limited, ,12/09/2015,18/09/2015,10/09/2015, , ,AGM/DIV-RE 1/- PER SHARE 
EQ,SUPRAJIT,Suprajit Engineering Limi, ,12/09/2015,19/09/2015,10/09/2015, , ,AGM/DIV-RE 0.50 PER SHARE
EQ,ASIL,Amit Spinning Industries, ,28/09/2015,30/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SUZLON,Suzlon Energy Limited, ,23/09/2015,28/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,AURIONPRO,Aurionpro Solutions Limit, ,21/09/2015,22/09/2015,16/09/2015, , ,AGM/DIV-RS 3 PER SHARE   
EQ,NITINSPIN,Nitin Spinners Limited, ,18/09/2015,25/09/2015,15/09/2015, , ,AGM/DIV-RE 1 PER SHARE   
EQ,ROHLTD,Royal Orchid Hotels Limit, ,21/09/2015,29/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,ENIL,Entertainment Network (In, ,08/09/2015,14/09/2015,04/09/2015, , ,AGM/DIV-RE 1 PER SHARE   
EQ,GSPL,Gujarat State Petronet Li, ,17/09/2015,24/09/2015,15/09/2015, , ,AGM/DIV-RS 1.20 PER SHARE
EQ,PATELENG,Patel Engineering Limited, ,22/09/2015,28/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,RENUKA,Shree Renuka Sugars Limit, ,23/09/2015,30/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,JAGRAN,Jagran Prakashan Limited, ,21/09/2015,30/09/2015,16/09/2015, , ,AGM/DIV-RS 3.50 PER SHARE
EQ,INOXLEISUR,INOX Leisure Limited, ,22/09/2015,28/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,GTNIND,GTN Industries Limited, ,24/09/2015,29/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,BEPL,Bhansali Eng. Polymers Lt, ,18/09/2015,26/09/2015,15/09/2015, , ,AGM/DIV-RE 0.10 PER SHARE
EQ,SADBHAV,Sadbhav Engineering Limit, ,07/09/2015,12/09/2015,03/09/2015, , ,AGM/DIV-RE 0.70 PER SHARE
EQ,SURYAJYOTI,Suryajyoti Spinning Mills, ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,CONSOFINVT,Consolidated Finvest & Ho, ,24/09/2015,28/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,JINDALPHOT,Jindal Photo Limited, ,28/09/2015,30/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
